plant,split,extremeness,rank
417,train,1.4761,0.1125
418,test,2.5294,0.6481
419,val,3.0331,0.8419
420,train,2.3408,0.5531
421,train,2.5907,0.6810
422,train,2.7439,0.7460
423,train,2.4464,0.6088
424,train,1.7096,0.2035
425,val,3.0001,0.8329
426,val,3.3776,0.9127
427,val,2.8964,0.7993
428,train,2.8159,0.7717
429,train,1.1870,0.0413
430,train,1.7171,0.2065
431,train,2.5525,0.6608
432,train,2.5687,0.6700
433,val,1.8789,0.2922
434,train,2.7152,0.7352
435,train,1.1290,0.0320
436,train,1.9212,0.3156
437,val,4.4215,0.9873
438,val,3.2956,0.8987
439,test,2.7858,0.7613
440,train,1.7082,0.2031
441,train,1.8348,0.2681
442,val,3.8629,0.9639
443,train,2.3426,0.5540
444,train,2.4210,0.5950
445,train,2.0983,0.4148
446,train,1.9539,0.3328
447,val,3.1407,0.8675
448,train,1.9910,0.3530
449,train,2.5649,0.6678
450,val,2.6563,0.7119
451,train,2.1270,0.4303
452,val,2.5954,0.6835
453,val,2.8288,0.7766
454,val,2.3747,0.5702
455,train,2.1844,0.4684
456,val,3.1387,0.8673
457,train,1.7798,0.2394
458,test,1.7879,0.2439
459,train,2.5729,0.6720
460,test,3.0340,0.8421
461,train,3.5195,0.9319
462,train,2.1550,0.4475
463,train,3.6827,0.9481
464,train,2.0359,0.3793
465,test,2.8062,0.7684
466,train,1.4302,0.0978
467,val,2.7619,0.7531
468,train,1.8325,0.2666
469,train,3.5143,0.9309
470,train,1.7255,0.2108
471,train,2.3957,0.5820
472,train,1.1555,0.0370
473,val,4.7270,0.9921
474,val,2.3696,0.5676
475,val,2.7429,0.7456
476,test,2.9842,0.8289
477,train,1.2266,0.0471
478,train,2.2987,0.5302
479,train,3.0434,0.8450
480,train,2.8104,0.7699
481,train,1.9658,0.3391
482,train,2.6476,0.7077
483,test,3.0281,0.8403
484,train,1.6585,0.1831
485,test,3.1008,0.8597
486,train,1.7318,0.2141
487,test,2.8694,0.7902
488,train,1.7147,0.2055
489,train,2.5938,0.6828
490,train,1.8203,0.2600
491,train,0.9785,0.0151
492,train,1.1920,0.0419
493,train,2.7515,0.7491
494,train,1.8521,0.2786
495,test,2.6862,0.7238
496,train,2.3093,0.5360
497,train,3.0926,0.8575
498,val,2.3026,0.5322
499,train,3.3318,0.9052
500,train,3.4895,0.9278
501,train,1.6149,0.1651
502,test,1.8772,0.2910
503,train,1.9936,0.3544
504,train,2.1516,0.4447
505,train,2.5020,0.6362
506,train,1.8920,0.2998
507,val,3.4691,0.9259
508,test,1.9240,0.3171
509,train,4.4617,0.9880
510,train,2.5312,0.6498
511,train,1.6855,0.1933
512,train,4.1211,0.9779
513,train,2.5632,0.6666
514,test,3.6688,0.9471
515,train,1.1485,0.0350
516,val,3.3938,0.9153
517,val,2.4167,0.5924
518,val,2.4213,0.5952
519,train,1.7770,0.2383
520,train,0.8358,0.0060
521,test,2.9340,0.8119
522,val,2.3884,0.5781
523,train,2.6528,0.7103
524,train,1.5701,0.1473
525,train,3.0757,0.8527
526,test,4.9480,0.9947
527,test,2.3824,0.5750
528,train,2.0106,0.3634
529,train,2.4120,0.5898
530,train,2.5774,0.6746
531,train,2.2448,0.5018
532,train,1.9980,0.3564
533,val,2.7911,0.7634
534,train,1.4197,0.0941
535,train,1.7662,0.2333
536,val,2.3068,0.5344
537,train,1.9450,0.3285
538,train,1.8821,0.2946
539,test,2.0283,0.3746
540,train,2.1989,0.4762
541,train,2.1553,0.4479
542,train,1.1441,0.0341
543,train,1.9145,0.3111
544,train,2.9738,0.8249
545,train,2.0515,0.3874
546,test,3.6950,0.9491
547,train,1.8883,0.2980
548,train,4.4302,0.9873
549,train,3.1167,0.8628
550,train,1.6447,0.1773
551,train,3.0190,0.8379
552,train,1.4530,0.1051
553,train,1.7431,0.2197
554,test,3.5897,0.9398
555,val,2.8740,0.7915
556,test,3.0890,0.8559
557,val,2.6872,0.7243
558,train,1.4852,0.1153
559,train,1.9196,0.3150
560,train,1.3268,0.0712
561,train,1.9420,0.3271
562,train,1.5598,0.1429
563,train,2.3156,0.5404
564,train,1.4614,0.1079
565,test,2.2215,0.4886
566,train,1.9208,0.3154
567,train,1.8363,0.2688
568,train,2.4318,0.6005
569,val,2.2883,0.5247
570,train,3.0840,0.8547
571,train,1.1461,0.0346
572,test,3.8142,0.9606
573,train,1.9317,0.3211
574,train,2.2375,0.4982
575,train,1.8619,0.2834
576,train,0.9823,0.0157
577,train,1.8381,0.2699
578,train,2.5516,0.6602
579,train,1.7230,0.2095
580,val,2.6265,0.6981
581,train,1.7491,0.2229
582,train,2.1947,0.4737
583,test,2.8813,0.7935
584,val,2.1992,0.4765
585,val,2.7232,0.7381
586,test,1.4996,0.1203
587,val,4.8465,0.9938
588,train,1.9782,0.3458
589,train,1.4878,0.1163
590,train,1.5827,0.1518
591,train,2.2194,0.4873
592,test,1.7776,0.2386
593,train,2.0904,0.4099
594,train,2.0208,0.3696
595,train,1.5987,0.1577
596,train,3.1676,0.8743
597,train,2.0505,0.3867
598,test,2.0227,0.3708
599,test,2.6930,0.7265
600,test,4.0020,0.9722
601,train,1.5436,0.1369
602,val,2.8401,0.7806
603,train,2.0930,0.4116
604,train,1.5127,0.1259
605,train,2.9842,0.8290
606,val,2.2324,0.4956
607,train,0.9015,0.0093
608,test,3.4319,0.9203
609,train,1.7494,0.2233
610,train,2.6217,0.6960
611,train,1.6366,0.1736
612,val,2.9569,0.8191
613,train,2.4294,0.5994
614,train,1.7506,0.2239
615,val,2.7417,0.7451
616,train,2.0302,0.3756
617,train,1.9387,0.3251
618,train,1.9095,0.3091
619,train,1.9573,0.3346
620,test,3.5747,0.9383
621,train,1.5774,0.1497
622,val,3.5347,0.9337
623,train,3.0460,0.8459
624,train,1.2051,0.0439
625,train,1.9305,0.3199
626,train,1.8807,0.2938
627,test,1.8613,0.2830
628,train,2.4069,0.5871
629,test,2.8228,0.7746
630,train,1.0988,0.0284
631,test,1.9822,0.3478
632,val,2.3219,0.5431
633,train,2.4385,0.6037
634,test,2.7309,0.7419
635,train,2.7872,0.7621
636,val,3.0330,0.8419
637,test,2.5595,0.6647
638,train,2.3130,0.5388
639,train,2.4418,0.6064
640,train,1.7934,0.2468
641,train,2.2642,0.5115
642,val,2.4710,0.6195
643,train,1.6650,0.1858
644,train,2.2680,0.5138
645,train,1.6728,0.1887
646,train,2.6910,0.7261
647,train,0.7095,0.0022
648,test,3.2528,0.8913
649,train,3.0737,0.8523
650,train,1.5613,0.1432
651,train,1.6942,0.1970
652,val,2.3587,0.5630
653,train,1.9548,0.3335
654,train,1.7073,0.2024
655,train,2.0718,0.3988
656,train,2.9522,0.8171
657,train,1.3864,0.0855
658,test,3.5855,0.9394
659,train,1.4050,0.0902
660,val,3.9045,0.9671
661,test,2.9325,0.8113
662,val,2.9861,0.8293
663,train,1.6124,0.1640
664,train,1.9811,0.3474
665,train,1.2515,0.0521
666,train,1.9069,0.3069
667,train,1.4865,0.1158
668,train,3.3054,0.9005
669,train,1.0013,0.0173
670,train,1.7644,0.2323
671,train,2.3070,0.5346
672,train,2.3024,0.5319
673,test,2.9747,0.8253
674,train,1.6645,0.1856
675,train,1.5485,0.1384
676,train,2.6166,0.6938
677,train,2.9144,0.8057
678,val,3.7039,0.9500
679,train,2.5346,0.6518
680,train,1.2108,0.0447
681,train,2.0356,0.3791
682,train,3.4809,0.9269
683,train,2.9449,0.8150
684,train,1.8826,0.2950
685,train,2.1353,0.4347
686,train,1.7432,0.2198
687,train,2.8379,0.7796
688,train,1.7636,0.2319
689,train,1.5203,0.1291
690,train,1.9356,0.3234
691,train,1.5512,0.1395
692,train,1.2373,0.0495
693,train,1.7373,0.2165
694,train,1.8884,0.2981
695,test,3.5365,0.9341
696,train,1.5265,0.1305
697,train,2.1706,0.4592
698,train,2.1176,0.4257
699,train,2.0222,0.3704
700,train,1.5785,0.1502
701,val,2.6312,0.7004
702,train,1.9367,0.3238
703,train,1.9976,0.3561
704,test,2.0519,0.3878
705,test,4.0150,0.9727
706,val,3.1608,0.8729
707,val,2.9679,0.8231
708,train,2.0596,0.3916
709,train,1.6401,0.1750
710,train,3.7392,0.9535
711,train,2.1770,0.4642
712,train,1.4844,0.1149
713,train,2.5630,0.6664
714,train,1.3480,0.0765
715,train,2.5132,0.6414
716,train,2.9823,0.8281
717,train,1.3459,0.0760
718,train,2.6450,0.7066
719,train,2.0014,0.3585
720,train,2.1314,0.4327
721,train,2.2892,0.5252
722,train,0.9463,0.0123
723,train,1.2979,0.0632
724,train,1.8564,0.2804
725,train,0.6608,0.0014
726,train,1.3223,0.0701
727,test,1.8560,0.2803
728,train,1.9637,0.3380
729,train,1.9242,0.3172
730,train,2.1315,0.4328
731,test,2.1294,0.4316
732,test,2.8939,0.7985
733,val,2.5919,0.6819
734,train,1.9926,0.3538
735,train,1.4625,0.1081
736,train,1.6893,0.1953
737,val,2.3096,0.5364
738,train,2.1348,0.4344
739,val,1.8637,0.2845
740,val,1.7026,0.1997
741,train,0.9404,0.0115
742,val,3.4926,0.9281
743,val,2.0802,0.4038
744,val,3.2532,0.8915
745,train,1.6524,0.1805
746,train,1.3466,0.0763
747,val,1.7418,0.2186
748,train,1.3151,0.0680
749,train,1.8592,0.2820
750,train,2.5105,0.6399
751,train,2.6758,0.7192
752,train,2.4854,0.6275
753,train,2.2997,0.5304
754,train,2.3495,0.5578
755,test,2.6721,0.7180
756,val,2.7307,0.7417
757,test,3.1763,0.8765
758,train,2.5000,0.6348
759,val,3.2279,0.8871
760,train,1.2366,0.0491
761,test,2.6245,0.6971
762,train,3.3898,0.9149
763,train,2.0448,0.3838
764,train,2.1661,0.4559
765,val,4.0499,0.9744
766,train,2.5870,0.6786
767,train,1.9297,0.3194
768,train,3.8531,0.9631
769,train,2.4940,0.6310
770,train,2.1034,0.4184
771,test,1.8977,0.3028
772,train,2.7472,0.7474
773,train,1.9949,0.3549
774,train,2.0039,0.3601
775,val,2.7885,0.7628
776,test,3.4464,0.9222
777,train,2.0412,0.3821
778,val,2.5747,0.6729
779,train,2.1176,0.4258
780,train,1.8004,0.2505
781,train,1.5604,0.1429
782,train,2.0532,0.3886
783,val,3.8023,0.9591
784,val,2.1050,0.4190
785,train,4.5936,0.9904
786,train,1.7134,0.2049
787,test,1.4927,0.1176
788,test,3.1951,0.8807
789,train,1.8433,0.2726
790,train,1.6424,0.1759
791,test,3.0134,0.8367
792,train,2.1446,0.4406
793,train,2.6600,0.7133
794,train,2.6395,0.7039
795,train,2.3027,0.5325
796,train,2.4778,0.6230
797,train,1.3105,0.0669
798,val,3.6497,0.9454
799,test,1.9021,0.3050
800,train,1.5271,0.1310
801,train,1.9792,0.3463
802,train,2.9579,0.8195
803,val,5.6876,0.9982
804,test,2.3150,0.5400
805,train,2.6362,0.7025
806,val,2.8738,0.7914
807,val,2.3737,0.5696
808,train,3.3075,0.9009
809,train,1.8528,0.2790
810,train,2.3427,0.5540
811,train,1.8479,0.2762
812,train,1.9759,0.3446
813,train,1.3434,0.0752
814,val,2.1291,0.4314
815,val,2.0779,0.4024
816,val,2.9225,0.8090
817,train,1.8249,0.2621
818,train,2.7196,0.7369
819,val,2.6523,0.7102
820,train,2.2624,0.5102
821,train,1.7317,0.2139
822,val,2.7545,0.7500
823,train,2.3842,0.5757
824,train,1.6025,0.1595
825,train,1.8537,0.2793
826,train,2.1906,0.4717
827,train,2.4828,0.6262
828,val,2.0661,0.3956
829,train,2.1664,0.4562
830,val,1.7517,0.2248
831,train,2.2033,0.4788
832,train,2.0805,0.4040
833,test,3.5491,0.9357
834,val,2.2872,0.5240
835,train,1.7353,0.2157
836,val,2.0813,0.4045
837,test,2.8379,0.7795
838,val,3.0315,0.8413
839,train,2.2192,0.4872
840,train,2.9991,0.8325
841,train,2.0132,0.3644
842,train,2.4430,0.6073
843,train,1.5057,0.1219
844,train,1.4952,0.1185
845,train,2.4261,0.5979
846,test,2.2598,0.5088
847,train,3.3345,0.9056
848,train,1.8251,0.2623
849,train,1.1329,0.0323
850,train,3.1889,0.8795
851,train,1.8633,0.2844
852,train,2.4712,0.6196
853,val,2.6839,0.7226
854,test,3.2347,0.8881
855,train,2.0779,0.4022
856,train,1.7245,0.2103
857,train,2.0772,0.4018
858,train,3.1376,0.8668
859,val,2.5894,0.6800
860,train,2.2648,0.5122
861,train,3.3736,0.9123
862,val,2.9092,0.8039
863,val,2.7749,0.7578
864,train,2.2380,0.4984
865,train,2.3678,0.5669
866,train,1.0994,0.0285
867,train,1.6009,0.1586
868,val,2.5402,0.6550
869,train,2.2247,0.4906
870,val,3.6652,0.9467
871,train,1.6710,0.1881
872,train,0.9579,0.0129
873,train,2.5850,0.6772
874,val,2.2527,0.5052
875,train,1.8610,0.2828
876,val,3.3274,0.9041
877,train,2.5663,0.6686
878,train,2.4832,0.6263
879,train,1.6456,0.1777
880,test,1.8536,0.2792
881,train,2.1803,0.4658
882,val,2.4812,0.6254
883,train,1.3263,0.0708
884,val,3.5450,0.9353
885,train,1.4275,0.0966
886,train,3.6479,0.9451
887,train,1.2930,0.0619
888,train,1.7382,0.2171
889,train,3.1411,0.8678
890,train,1.6135,0.1643
891,train,1.2435,0.0507
892,train,1.5735,0.1485
893,test,3.5251,0.9327
894,train,2.2896,0.5254
895,train,1.2603,0.0545
896,train,2.5296,0.6484
897,test,4.1433,0.9791
898,train,1.4271,0.0965
899,train,1.6817,0.1917
900,train,1.4265,0.0962
901,train,2.4148,0.5914
902,train,2.0254,0.3724
903,val,2.4678,0.6176
904,train,3.2007,0.8817
905,train,1.7254,0.2107
906,train,2.0762,0.4010
907,test,3.3235,0.9035
908,train,2.2207,0.4878
909,test,2.4575,0.6133
910,train,1.9368,0.3239
911,test,2.5460,0.6573
912,test,3.0945,0.8579
913,train,1.7728,0.2366
914,test,2.2260,0.4916
915,train,3.2716,0.8951
916,train,1.7836,0.2416
917,train,2.7247,0.7389
918,train,2.4558,0.6121
919,train,1.4683,0.1095
920,train,1.3638,0.0805
921,train,1.0330,0.0207
922,train,1.7792,0.2393
923,train,1.4374,0.1004
924,test,4.3417,0.9848
925,train,2.5922,0.6822
926,train,1.7732,0.2368
927,train,2.1183,0.4260
928,train,1.8491,0.2768
929,val,1.9062,0.3066
930,train,1.7295,0.2127
931,val,2.3012,0.5314
932,train,2.7106,0.7336
933,train,1.5492,0.1389
934,test,2.9145,0.8058
935,train,2.6979,0.7292
936,val,2.3787,0.5726
937,train,2.4315,0.6003
938,train,2.3770,0.5718
939,train,2.4382,0.6036
940,train,1.2231,0.0465
941,train,2.8146,0.7713
942,train,2.5256,0.6469
943,train,2.1967,0.4753
944,test,2.7848,0.7609
945,val,3.2590,0.8919
946,train,2.7775,0.7587
947,train,2.1560,0.4484
948,train,2.5346,0.6518
949,train,1.1541,0.0365
950,train,2.2337,0.4962
951,test,1.8213,0.2607
952,test,2.4504,0.6102
953,test,2.6555,0.7118
954,test,3.1294,0.8653
955,train,1.7312,0.2135
956,train,1.9484,0.3301
957,train,3.1154,0.8627
958,val,2.5255,0.6466
959,train,2.1818,0.4668
960,test,2.8060,0.7682
961,train,2.2657,0.5127
962,val,1.8107,0.2552
963,val,3.6805,0.9481
964,val,2.8668,0.7893
965,val,4.3597,0.9855
966,test,2.1863,0.4695
967,train,1.3645,0.0808
968,train,1.2360,0.0490
969,train,1.3521,0.0774
970,train,2.5600,0.6651
971,train,2.8177,0.7722
972,train,2.6378,0.7032
973,train,2.1063,0.4198
974,train,2.5929,0.6824
975,test,2.5410,0.6555
976,train,0.9649,0.0137
977,train,4.1668,0.9799
978,test,3.2792,0.8961
979,train,2.6216,0.6960
980,train,2.1674,0.4567
981,test,2.5934,0.6826
982,train,1.5088,0.1235
983,train,1.7056,0.2014
984,val,2.3990,0.5843
985,train,2.1052,0.4193
986,train,2.3152,0.5400
987,train,2.6295,0.6994
988,train,1.7175,0.2069
989,train,1.6631,0.1851
990,train,1.4999,0.1206
991,train,1.6231,0.1690
992,train,1.0535,0.0231
993,train,2.6529,0.7104
994,train,2.5155,0.6428
995,test,2.1060,0.4197
996,train,1.2689,0.0562
997,train,2.2225,0.4893
